name,id,nametype,recclass,mass,year,reclat,reclong,coordinates
Chainpur,5315,Valid,LL3.4,0.0,1907-01-01,25.85,83.48333,"[0, 0]"
Chajari,5316,Valid,L5,0.0,1933-01-01,-30.78333,-58.05,"[0, 0]"
Chandakapur,5320,Valid,L5,0.0,1838-01-01,20.26667,76.01667,"[0, 0]"
Chandpur,5321,Valid,L6,0.0,1885-01-01,27.28333,79.05,"[0, 0]"
Changde,5322,Valid,H5,0.0,1977-01-01,29.08333,111.75,"[0, 0]"
Chantonnay,5325,Valid,L6,0.0,1812-01-01,46.68333,1.05,"[0, 0]"
Charlotte,5328,Valid,"Iron, IVA",0.0,1835-01-01,36.16667,-87.33333,"[0, 0]"
Charsonville,5329,Valid,H6,0.0,1810-01-01,47.93333,1.56667,"[0, 0]"
Charwallas,5330,Valid,H6,0.0,1834-01-01,29.48333,75.5,"[0, 0]"
Chassigny,5331,Valid,Martian (chassignite),0.0,1815-01-01,47.71667,5.36667,"[0, 0]"
Château-Renard,5332,Valid,L6,0.0,1841-01-01,47.93333,2.91667,"[0, 0]"
Chaves,5334,Valid,Howardite,0.0,1925-01-01,41.93333,-7.46667,"[0, 0]"
Chela,5338,Valid,H4,0.0,1988-01-01,-3.66667,32.5,"[0, 0]"
Chelyabinsk,57165,Valid,LL5,0.0,2013-01-01,54.81667,61.11667,"[0, 0]"
Chergach ,47347,Valid,H5,0.0,2007-01-01,23.69639,-5.01472,"[0, 0]"
Chernyi Bor,5339,Valid,H4,0.0,1964-01-01,53.7,30.1,"[0, 0]"
Cherokee Springs,5340,Valid,LL6,0.0,1933-01-01,35.03333,-81.88333,"[0, 0]"
Chervettaz,5341,Valid,L5,0.0,1901-01-01,46.55,6.81667,"[0, 0]"
Chervony Kut,5342,Valid,Eucrite-mmict,0.0,1939-01-01,50.83333,34.0,"[0, 0]"
Chetrinahatti,5344,Valid,Stone-uncl,0.0,1880-01-01,14.5,76.5,"[0, 0]"
Chiang Khan,5345,Valid,H6,0.0,1981-01-01,17.9,101.63333,"[0, 0]"
Chicora,5349,Valid,LL6,0.0,1938-01-01,40.93333,-79.73333,"[0, 0]"
Chisenga,5355,Valid,"Iron, IIIAB",0.0,1988-01-01,-10.05944,33.395,"[0, 0]"
Chitado,5356,Valid,L6,0.0,1966-01-01,-17.35,13.96667,"[0, 0]"
Chitenay,5357,Valid,L6,0.0,1978-01-01,47.47083,0.97667,"[0, 0]"
Cilimus,5364,Valid,L5,0.0,1979-01-01,-6.95,108.1,"[0, 0]"
Claxton,5374,Valid,L6,0.0,1984-01-01,32.1025,-81.87278,"[0, 0]"
Clohars,5383,Valid,L4,0.0,1822-01-01,0.0,0.0,"[0, 0]"
Colby (Wisconsin),5395,Valid,L6,0.0,1917-01-01,44.9,-90.28333,"[0, 0]"
Cold Bokkeveld,5397,Valid,CM2,0.0,1838-01-01,-33.13333,19.38333,"[0, 0]"
Coleman,5401,Valid,L6,0.0,1994-01-01,43.76111,-84.50778,"[0, 0]"
Collescipoli,5403,Valid,H5,0.0,1890-01-01,42.53333,12.61667,"[0, 0]"
Conquista,5418,Valid,H4,0.0,1965-01-01,-19.85,-47.55,"[0, 0]"
Cosina,5451,Valid,H5,0.0,1844-01-01,21.16667,-100.86667,"[0, 0]"
Cranganore,5465,Valid,L6,0.0,1917-01-01,10.2,76.26667,"[0, 0]"
Crescent,5470,Valid,CM2,0.0,1936-01-01,35.95,-97.58333,"[0, 0]"
Cronstad,5474,Valid,H5,0.0,1877-01-01,-27.7,27.3,"[0, 0]"
Cross Roads,5476,Valid,H5,0.0,1892-01-01,35.63333,-78.13333,"[0, 0]"
Crumlin,5477,Valid,L5,0.0,1902-01-01,54.61667,-6.21667,"[0, 0]"
Cumberland Falls,5496,Valid,Aubrite,0.0,1919-01-01,36.83333,-84.35,"[0, 0]"
Cynthiana,5500,Valid,L/LL4,0.0,1877-01-01,38.4,-84.25,"[0, 0]"
Dahmani,5504,Valid,LL6,0.0,1981-01-01,35.61667,8.83333,"[0, 0]"
Dandapur,5511,Valid,L6,0.0,1878-01-01,26.91667,83.96667,"[0, 0]"
Daniel's Kuil,5513,Valid,EL6,0.0,1868-01-01,-28.2,24.56667,"[0, 0]"
Danville,5514,Valid,L6,0.0,1868-01-01,34.4,-87.06667,"[0, 0]"
Darmstadt,6603,Valid,H5,0.0,1804-01-01,49.86667,8.65,"[0, 0]"
Dashoguz,6604,Valid,H5,0.0,1998-01-01,41.98444,59.685,"[0, 0]"
Daule,51559,Valid,L5,0.0,2008-01-01,-1.87089,-79.95756,"[0, 0]"
De Cewsville,6621,Valid,H6,0.0,1887-01-01,43.0,-80.0,"[0, 0]"
Deal,6634,Valid,L6,0.0,1829-01-01,40.25,-74.0,"[0, 0]"
Delhi,6642,Valid,L5,0.0,1897-01-01,28.56667,77.25,"[0, 0]"
Demina,6649,Valid,L6,0.0,1911-01-01,51.46667,84.76667,"[0, 0]"
Denver,6660,Valid,L6,0.0,1967-01-01,39.7825,-104.93056,"[0, 0]"
Dergaon,6664,Valid,H5,0.0,2001-01-01,26.68333,93.86667,"[0, 0]"
Desuri,6693,Valid,H6,0.0,1962-01-01,25.73333,73.61667,"[0, 0]"
Devgaon,6694,Valid,H3.8,0.0,2001-01-01,19.0,81.0,"[0, 0]"
Devri-Khera,6696,Valid,L6,0.0,1994-01-01,24.225,76.525,"[0, 0]"
Dhajala,6698,Valid,H3.8,0.0,1976-01-01,22.37778,71.42722,"[0, 0]"
Dharwar,6699,Valid,OC,0.0,1848-01-01,14.88333,75.6,"[0, 0]"
Dhurmsala,7640,Valid,LL6,0.0,1860-01-01,32.23333,76.46667,"[0, 0]"
Didim,47350,Valid,H3-5,0.0,2007-01-01,37.35172,27.32997,"[0, 0]"
Diep River,7642,Valid,L6,0.0,1906-01-01,-33.75,18.56667,"[0, 0]"
Distrito Quebracho,7649,Valid,H4,0.0,1957-01-01,-31.88333,-60.46667,"[0, 0]"
Djati-Pengilon,7652,Valid,H6,0.0,1884-01-01,-7.5,111.5,"[0, 0]"
Djermaia,7656,Valid,H,0.0,1961-01-01,12.73333,15.05,"[0, 0]"
Djoumine,7657,Valid,H5-6,0.0,1999-01-01,36.95,9.55,"[0, 0]"
Dokachi,7658,Valid,H5,0.0,1903-01-01,23.5,90.33333,"[0, 0]"
Dolgovoli,7659,Valid,L6,0.0,1864-01-01,50.75,25.3,"[0, 0]"
Domanitch,7661,Valid,L5,0.0,1907-01-01,40.0,29.0,"[0, 0]"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,0.0,1995-01-01,45.5,119.03333,"[0, 0]"
Donga Kohrod,7707,Valid,H6,0.0,1899-01-01,21.86667,82.45,"[0, 0]"
Dongtai,7708,Valid,LL6,0.0,1970-01-01,32.91667,120.78333,"[0, 0]"
Doroninsk,7718,Valid,H5-7,0.0,1805-01-01,51.2,112.3,"[0, 0]"
Dosso,7722,Valid,L6,0.0,1962-01-01,13.05,3.16667,"[0, 0]"
Douar Mghila,7723,Valid,LL6,0.0,1932-01-01,32.33333,-6.3,"[0, 0]"
