name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Borodino,5114,H5,500.0,Fell,1812-01-01,55.46667,35.86667,"[55.46667, 35.86667]"
Botschetschki,5117,L4,614.0,Fell,1823-01-01,51.33333,33.88333,"[51.33333, 33.88333]"
Boumdeid (2003),57168,L6,190.0,Fell,2003-01-01,17.71067,-11.3715,"[17.71067, -11.3715]"
Boumdeid (2011),57167,L6,3599.0,Fell,2011-01-01,17.17493,-11.34133,"[17.17493, -11.34133]"
Bovedy,5121,L3,5460.0,Fell,1969-01-01,54.56667,-6.33333,"[54.56667, -6.33333]"
Bradford Woods,5128,L,762.0,Fell,1886-01-01,40.5,-80.08333,"[40.5, -80.08333]"
Braunau,5133,"Iron, IIAB",39000.0,Fell,1847-01-01,50.6,16.3,"[50.6, 16.3]"
Breitscheid,5134,H5,1500.0,Fell,1956-01-01,50.66694,8.18361,"[50.66694, 8.18361]"
Bremervörde,5135,H/L3.9,7250.0,Fell,1855-01-01,53.4,9.1,"[53.4, 9.1]"
Brient,5140,Eucrite-pmict,219.0,Fell,1933-01-01,52.13333,59.31667,"[52.13333, 59.31667]"
Bruderheim,5156,L6,303000.0,Fell,1960-01-01,53.9,-112.88333,"[53.9, -112.88333]"
Bukhara,30448,CV3,5300.0,Fell,2001-01-01,39.77978,64.60035,"[39.77978, 64.60035]"
Bunburra Rockhole,48653,Eucrite,324.0,Fell,2007-01-01,-31.35,129.19,"[-31.35, 129.19]"
Bununu,5165,Howardite,357.0,Fell,1942-01-01,10.01667,9.58333,"[10.01667, 9.58333]"
Bur-Gheluai,5169,H5,120000.0,Fell,1919-01-01,5.0,48.0,"[5.0, 48.0]"
Burnwell,5175,H4-an,1504.0,Fell,1990-01-01,37.62194,-82.23722,"[37.62194, -82.23722]"
Bursa,5177,L6,25000.0,Fell,1946-01-01,40.2,29.23333,"[40.2, 29.23333]"
Buschhof,5178,L6,5000.0,Fell,1863-01-01,46.45,25.78333,"[46.45, 25.78333]"
Bustee,5181,Aubrite,1500.0,Fell,1852-01-01,26.78333,82.83333,"[26.78333, 82.83333]"
Butsura,5183,H6,29000.0,Fell,1861-01-01,27.08333,84.08333,"[27.08333, 84.08333]"
Buzzard Coulee,48654,H4,41000.0,Fell,2008-01-01,52.996,-109.84817,"[52.996, -109.84817]"
Cabezo de Mayo,5185,L/LL6,25000.0,Fell,1870-01-01,37.98333,-1.16667,"[37.98333, -1.16667]"
Cabin Creek,5186,"Iron, IIIAB",48500.0,Fell,1886-01-01,35.5,-93.5,"[35.5, -93.5]"
Cacak,5187,OC,212.0,Fell,1919-01-01,43.83889,20.33333,"[43.83889, 20.33333]"
Cali,45976,H/L4,478.0,Fell,2007-01-01,3.405,-76.51,"[3.405, -76.51]"
Calivo,5200,Stone-uncl,2400.0,Fell,1916-01-01,11.75,122.33333,"[11.75, 122.33333]"
Campos Sales,5249,L5,23680.0,Fell,1991-01-01,-7.03333,-40.16667,"[-7.03333, -40.16667]"
Çanakkale,5250,L6,4000.0,Fell,1964-01-01,39.8,26.6,"[39.8, 26.6]"
Cañellas,5251,H4,945.0,Fell,1861-01-01,41.25,1.66667,"[41.25, 1.66667]"
Cangas de Onis,5252,H5,34000.0,Fell,1866-01-01,43.38333,-5.15,"[43.38333, -5.15]"
Canon City,5253,H6,1400.0,Fell,1973-01-01,38.47028,-105.24139,"[38.47028, -105.24139]"
Cape Girardeau,5260,H6,2300.0,Fell,1846-01-01,37.26667,-89.58333,"[37.26667, -89.58333]"
Capilla del Monte,5264,H6,750.0,Fell,1934-01-01,-30.88333,-64.55,"[-30.88333, -64.55]"
Carancas,45817,H4-5,342.0,Fell,2007-01-01,-16.66444,-69.04389,"[-16.66444, -69.04389]"
Caratash,5265,LL6,8.0,Fell,1902-01-01,38.5,27.0,"[38.5, 27.0]"
Castalia,5291,H5,7300.0,Fell,1874-01-01,36.08333,-78.06667,"[36.08333, -78.06667]"
Castine,5293,L6,94.0,Fell,1848-01-01,44.38333,-68.75,"[44.38333, -68.75]"
Castrovillari,5295,Stone-uncl,15000.0,Fell,1583-01-01,39.8,16.2,"[39.8, 16.2]"
Caswell County,5296,OC,1360.0,Fell,1810-01-01,36.5,-79.25,"[36.5, -79.25]"
Ceniceros,5306,L3.7,1025.0,Fell,1988-01-01,26.46667,-105.23333,"[26.46667, -105.23333]"
Centerville,5307,H5,45.6,Fell,1956-01-01,43.2,-96.91667,"[43.2, -96.91667]"
Cereseto,5308,H5,6460.0,Fell,1840-01-01,45.08333,8.3,"[45.08333, 8.3]"
Chadong,5313,L6,3700.0,Fell,1998-01-01,28.53333,109.31667,"[28.53333, 109.31667]"
Chail,5314,H6,0.5,Fell,1814-01-01,25.36667,81.66667,"[25.36667, 81.66667]"
Chainpur,5315,LL3.4,8200.0,Fell,1907-01-01,25.85,83.48333,"[25.85, 83.48333]"
Chajari,5316,L5,18300.0,Fell,1933-01-01,-30.78333,-58.05,"[-30.78333, -58.05]"
Chandakapur,5320,L5,8800.0,Fell,1838-01-01,20.26667,76.01667,"[20.26667, 76.01667]"
Chandpur,5321,L6,1100.0,Fell,1885-01-01,27.28333,79.05,"[27.28333, 79.05]"
Changde,5322,H5,1810.0,Fell,1977-01-01,29.08333,111.75,"[29.08333, 111.75]"
Chantonnay,5325,L6,31500.0,Fell,1812-01-01,46.68333,1.05,"[46.68333, 1.05]"
Charlotte,5328,"Iron, IVA",4300.0,Fell,1835-01-01,36.16667,-87.33333,"[36.16667, -87.33333]"
Charsonville,5329,H6,27000.0,Fell,1810-01-01,47.93333,1.56667,"[47.93333, 1.56667]"
Charwallas,5330,H6,12000.0,Fell,1834-01-01,29.48333,75.5,"[29.48333, 75.5]"
Chassigny,5331,Martian (chassignite),4000.0,Fell,1815-01-01,47.71667,5.36667,"[47.71667, 5.36667]"
Château-Renard,5332,L6,30000.0,Fell,1841-01-01,47.93333,2.91667,"[47.93333, 2.91667]"
Chaves,5334,Howardite,2945.0,Fell,1925-01-01,41.93333,-7.46667,"[41.93333, -7.46667]"
